SaO2,EMG,ABDO RES,Start Time,End Time,Apnea/Hypopnea
95.36451260140893,1.8350829508367126,-0.03755283071428311,0,30,0
95.33847053737192,1.6260215458383531,-0.037282225602090845,30,60,0
94.96086060883499,1.7235829672302478,-0.03247659394228915,60,90,0
95.46868085755705,1.7447345196197086,-0.005629154663115728,90,120,0
95.11711299305716,1.663227906399306,-0.09737968100719144,120,150,0
97.4469113196511,1.7087483641205852,-0.03429635816510502,150,180,0
95.20826021718678,1.8157796420599392,-0.038568902630594426,180,210,0
94.17959868772414,1.7111737155344602,-0.028655929598769756,210,240,0
94.03636733552048,1.851242371437252,0.02260393147978455,240,270,0
94.72648203250176,1.7913991282367447,-0.0625516866374256,270,300,0
79.55748836499585,1.8027374278180026,0.005199994736142115,300,330,0
96.63996337834746,1.764045511748624,-0.11219575272621989,330,360,0
96.4061951628901,1.7902886181448303,-0.04294018121334778,360,390,0
95.52076498563112,1.9321410836376272,-0.03933655276055146,390,420,0
94.08845146359455,1.6461084420661614,-0.09221133155341607,420,450,0
97.12163983621986,1.8731439632143105,-0.021358431548409735,450,480,0
94.5832506802981,1.8667853831469474,-0.01457369199914563,480,510,0
93.80198875918724,1.8880602121303747,-0.05035820307047858,510,540,0
93.9582411434094,1.8412565327817096,-0.03309884018256284,540,570,0
94.1405355916686,1.819005844822025,-0.012877393850094388,570,600,0
94.17959868772414,1.8634903505401361,-0.0470799043957088,600,630,0
94.17959868772417,1.8584996517899723,-0.023349965602459354,630,660,0
94.33585107194631,1.6808862633203214,-0.032763233206207144,660,690,0
94.1405355916686,1.8650200801774803,-0.034411016813498785,690,720,0
94.37491416800185,1.9048109676368525,-0.01973831317337985,720,750,0
94.29678797589075,1.7972761336576186,-0.03064158493743653,750,780,0
94.21866178377968,1.836668043768477,-0.035227238977586936,780,810,0
94.17959868772414,1.93743891306302,-0.03921309572213115,810,840,0
94.960860608835,1.8341861992702064,-0.016272825534263187,840,870,0
94.25772487983525,1.8425732458515742,-0.04858858580475844,870,900,0
94.64835584039065,1.867944914519061,-0.021071762956234547,900,930,0
95.27336537727933,1.8889652722525896,-0.03660217317288881,930,960,0
94.68741893644619,1.8817112884185634,-0.03805051531930822,960,990,0
94.53116655222402,1.862377090303826,-0.01869700278056412,990,1020,0
95.31242847333488,1.876725706339836,-0.03333805353048698,1020,1050,0
94.84367132066836,1.846537088248082,-0.04178263244462643,1050,1080,0
95.31242847333488,1.8547304652124121,-0.02828225207798121,1080,1110,0
94.96086060883499,1.8887928377387835,-0.022567431140548377,1110,1140,0
95.19523918516825,1.9203624619484174,-0.03265141256549712,1140,1170,0
95.19523918516825,1.8713360739918152,-0.03527557366450063,1170,1200,0
95.31242847333488,1.8528947570535783,-0.03241231278867848,1200,1230,0
94.49210345616848,1.8935618583209757,-0.029244691687840694,1230,1260,0
95.23430228122379,1.8634146385514425,-0.03322090207164272,1260,1290,0
94.84367132066836,1.8486900868281502,-0.022625005099147808,1290,1320,0
95.07804989700162,1.8894244352772271,-0.03391729383166895,1320,1350,0
95.07804989700162,1.85212798199421,-0.03613900067341018,1350,1380,0
94.72648203250174,1.8486849503032325,-0.019651156169559477,1380,1410,0
95.31242847333489,1.8375101939323704,-0.026177780310836417,1410,1440,0
95.36451260140893,1.8878989826180927,-0.059772181676029636,1440,1470,0
96.01556420233464,1.8734626867311135,-0.019557837843581092,1470,1500,0
95.96348007426059,1.834764782189379,-0.03697435998169251,1500,1530,0
95.14315505709419,1.8744119027742911,-0.030745419149842034,1530,1560,0
94.1405355916686,1.871704941005524,-0.021710564583538646,1560,1590,0
94.06240939955751,1.8548351147108881,-0.04038304731219234,1590,1620,0
94.14053559166858,1.8791460974002896,-0.057881817498281585,1620,1650,0
94.03636733552048,1.8422439272800015,-0.00970926574001523,1650,1680,0
93.61969431092803,1.8370359846605326,-0.03367934111351057,1680,1710,0
94.01032527148345,1.8638369568133086,-0.033556299051227215,1710,1740,0
94.01032527148345,1.867430964334752,-0.030763735735751634,1740,1770,0
93.98428320744642,1.9778739920947286,-0.047848353230826285,1770,1800,0
94.76554512855728,1.848374414603532,-0.01474145114260119,1800,1830,0
94.88273441672392,1.84122801949134,-0.04051036769077558,1830,1860,0
94.57022964827956,1.8246739186202885,-0.012138915009011183,1860,1890,0
94.01032527148345,1.7673583151286856,-0.04707108339684573,1890,1920,0
94.14053559166861,1.8033052199219826,-0.029169397322210352,1920,1950,0
94.1405355916686,1.867416348731119,-0.033157310321444255,1950,1980,0
94.1405355916686,1.8853465238925695,-0.03278049849590502,1980,2010,0
94.11449352763157,1.8110329383452184,-0.027270864634112293,2010,2040,0
